1,Babar Azam,Pakistan,824,56.72,ODI
2,Rohit Sharma,India,765,49.17,ODI
3,Shubman Gill,India,763,58.20,ODI
4,Virat Kohli,India,746,58.18,ODI
4,Harry Tector,Ireland,746,49.91,ODI
6,Daryl Mitchell,New Zealand,728,52.57,ODI
7,David Warner,Australia,723,45.01,ODI
8,Pathum Nissanka,Sri Lanka,708,43.89,ODI
9,Dawid Malan,England,707,55.77,ODI
10,Rassie van der Dussen,South Africa,701,52.44,ODI
11,Heinrich Klaasen,South Africa,697,40.07,ODI
12,Fakhar Zaman,Pakistan,682,46.56,ODI
13,Shai Hope,West Indies,676,49.78,ODI
14,Ibrahim Zadran,Afghanistan,673,47.97,ODI
15,Imam-ul-Haq,Pakistan,672,48.28,ODI
1,Joe Root,England,872,50.11,TEST
2,Kane Williamson,New Zealand,859,54.99,TEST
3,Daryl Mitchell,New Zealand,768,50.25,TEST
3,Babar Azam,Pakistan,768,45.86,TEST
5,Steven Smith,Australia,757,56.97,TEST
6,Rohit Sharma,India,751,45.47,TEST
7,Harry Brook,England,749,59.91,TEST
8,Yashasvi Jaiswal,India,740,68.53,TEST
9,Dimuth Karunaratne,Sri Lanka,739,41.31,TEST
10,Virat Kohli,India,737,49.16,TEST
11,Usman Khawaja,Australia,728,45.42,TEST
12,Marnus Labuschagne,Australia,720,49.57,TEST
13,Travis Head,Australia,697,41.75,TEST
14,Saud Shakeel,Pakistan,693,60.44,TEST
15,Dhananjaya de Silva,Sri Lanka,688,39.80,TEST
1,Travis Head,Australia,844,32.54,T20
2,Suryakumar Yadav,India,805,42.67,T20
3,Philip Salt,England,797,35.40,T20
4,Yashasvi Jaiswal,India,757,36.15,T20
5,Babar Azam,Pakistan,755,41.04,T20
6,Mohammad Rizwan,Pakistan,746,48.01,T20
7,Jos Buttler,England,716,35.87,T20
8,Ruturaj Gaikwad,India,664,39.56,T20
9,Brandon King,West Indies,656,28.47,T20
10,Johnson Charles,West Indies,655,23.25,T20
11,Aiden Markram,South Africa,646,33.54,T20
12,Nicholas Pooran,West Indies,639,26.62,T20
13,Rahmanullah Gurbaz,Afghanistan,636,26.30,T20
14,Quinton de Kock,South Africa,631,31.51,T20
15,Jonny Bairstow,England,629,29.84,T20
